Armenia,2731,18.44
Armenia,2732,2.83
Armenia,2733,6.55
Armenia,2734,14.58
Armenia,2735,0.00
Armenia,2736,4.45
Afghanistan,2731,4.83
Afghanistan,2732,5.51
Afghanistan,2734,2.63
Afghanistan,2735,0.40
Afghanistan,2736,1.90
Albania,2731,13.70
Albania,2732,6.94
Albania,2733,9.63
Albania,2734,13.41
Albania,2735,0.04
Albania,2736,4.74
Algeria,2731,4.92
Algeria,2732,7.16
Algeria,2733,0.00
Algeria,2734,7.41
Algeria,2735,0.36
Algeria,2736,1.37
Angola,2731,7.11
Angola,2732,1.09
Angola,2733,7.92
Angola,2734,15.30
Angola,2735,0.44
Angola,2736,1.10
Antigua and Barbuda,2731,12.67
Antigua and Barbuda,2732,3.61
Antigua and Barbuda,2733,12.53
Antigua and Barbuda,2734,58.77
Antigua and Barbuda,2735,0.38
Antigua and Barbuda,2736,3.40
Argentina,2731,54.94
Argentina,2732,1.25
Argentina,2733,9.04
Argentina,2734,35.28
Argentina,2735,1.20
Argentina,2736,5.36
Australia,2731,40.57
Australia,2732,11.21
Australia,2733,23.12
Australia,2734,45.10
Australia,2735,1.09
Australia,2736,7.92
Austria,2731,17.34
Austria,2732,1.13
Austria,2733,67.47
Austria,2734,19.19
Austria,2735,1.20
Austria,2736,0.84
Bahamas,2731,16.50
Bahamas,2732,2.56
Bahamas,2733,22.46
Bahamas,2734,54.84
Bahamas,2735,0.37
Bahamas,2736,3.32
Barbados,2731,13.68
Barbados,2732,3.73
Barbados,2733,6.20
Barbados,2734,49.88
Barbados,2735,0.00
Barbados,2736,2.57
Bangladesh,2731,1.30
Bangladesh,2732,1.33
Bangladesh,2733,0.00
Bangladesh,2734,1.38
Bangladesh,2735,0.10
Bangladesh,2736,0.59
Bermuda,2731,48.21
Bermuda,2732,8.52
Bermuda,2733,21.20
Bermuda,2734,40.28
Bermuda,2735,0.03
Bermuda,2736,0.29
Bolivia,2731,19.80
Bolivia,2732,1.78
Bolivia,2733,8.50
Bolivia,2734,36.45
Bolivia,2735,0.82
Bolivia,2736,3.56
Botswana,2731,8.04
Botswana,2732,3.91
Botswana,2733,0.61
Botswana,2734,5.15
Botswana,2735,12.05
Botswana,2736,3.86
Brazil,2731,39.07
Brazil,2732,0.60
Brazil,2733,12.57
Brazil,2734,40.63
Brazil,2735,0.11
Brazil,2736,2.23
Belize,2731,5.25
Belize,2732,0.10
Belize,2733,15.90
Belize,2734,26.15
Belize,2735,0.27
Belize,2736,0.68
Solomon Islands,2731,5.64
Solomon Islands,2732,0.05
Solomon Islands,2733,4.69
Solomon Islands,2734,6.01
Solomon Islands,2735,0.04
